config_id,side,lookback_col,top_pct,rebalance_days,sharpe,sortino,max_dd,calmar,cagr,turnover,error
lo_111,long_only,mom_63d,0.2,42,0.8755054663272175,0.805537865967504,-0.4254998864393832,0.37867191982395215,0.16112485888287487,0.030029126253570557,
lo_112,long_only,mom_63d,0.2,63,0.937939918456945,0.8770276582638061,-0.42963767402176234,0.4264251594179052,0.183208313636668,0.023994300526325153,
lo_113,long_only,mom_63d,0.2,126,0.9434111876434409,0.892352213771568,-0.42963767402176267,0.4478529514077229,0.19241450034659557,0.01206823199050676,
lo_114,long_only,mom_63d,0.3,5,0.8990900645764753,0.8427910905500217,-0.34958131336170617,0.4382923614534631,0.15321881935330528,0.07247145081357638,
lo_115,long_only,mom_63d,0.3,10,0.9258811589450935,0.8703639427839596,-0.34529884839300007,0.4622989503286274,0.15963129516176777,0.052353968180292726,
lo_116,long_only,mom_63d,0.3,21,0.9586721480789391,0.8986004587134113,-0.3531509579072929,0.47640872482951224,0.16824419752893416,0.03637795023219987,
lo_117,long_only,mom_63d,0.3,42,0.8705110264513044,0.8050578445038191,-0.41361570769522904,0.3702179540588791,0.15312796106954307,0.02624792299797075,
lo_118,long_only,mom_63d,0.3,63,0.9214335944484643,0.8631948109689732,-0.413168471367668,0.4116313353713107,0.1700730896023963,0.021646120081789372,
lo_119,long_only,mom_63d,0.3,126,0.937293387460834,0.8841897414032851,-0.413168471367668,0.4368680514922865,0.1805001050244397,0.010713863497207557,
lo_120,long_only,mom_126d,0.05,5,1.1757606946805657,1.0866380807859297,-0.3358674990091418,0.8618387827995515,0.28946363652796836,0.07925129868273681,
lo_121,long_only,mom_126d,0.05,10,1.185570841554555,1.1048327264262328,-0.32477703714622086,0.9094514435219532,0.2953689452554136,0.055935387045754945,
lo_122,long_only,mom_126d,0.05,21,1.2035499432749692,1.11291449185079,-0.3482608551541949,0.889228394384308,0.3096834410556708,0.03733868980022826,
lo_123,long_only,mom_126d,0.05,42,1.2439708086020635,1.1485965060505687,-0.3398172579171982,0.9574060600582275,0.3253431020422952,0.025480310102383677,
lo_124,long_only,mom_126d,0.05,63,1.2734161256314875,1.1900146062885286,-0.36126038956336404,0.9420949650759353,0.3403415940890162,0.020329450556875305,
lo_125,long_only,mom_126d,0.05,126,1.1804238371313431,1.1041267248711037,-0.36126038956336426,0.8611457363405072,0.3110978441812018,0.013361905034145838,
lo_126,long_only,mom_126d,0.1,5,1.0430674495314052,0.9680204098555978,-0.34919044737014515,0.6235435755223669,0.21773546009143518,0.07332288319541465,
lo_127,long_only,mom_126d,0.1,10,1.0314084614561971,0.9549342823941731,-0.3544673593059243,0.6123215797829098,0.2170480134316799,0.052236347289938694,
lo_128,long_only,mom_126d,0.1,21,1.0613553887636276,0.9799664162193468,-0.35683445040982653,0.6461073954935971,0.23055337737668213,0.03521274967087578,
lo_129,long_only,mom_126d,0.1,42,1.1083715520048358,1.0250934977052426,-0.3351499526535172,0.7344328079068012,0.24614512079715412,0.023876722398116928,
lo_130,long_only,mom_126d,0.1,63,1.1101832214367768,1.0305708691761661,-0.32522751020398055,0.7691265844264767,0.25014112408471467,0.01909432069466445,
lo_131,long_only,mom_126d,0.1,126,1.1155929937101554,1.0445793532566374,-0.3252275102039809,0.7813944209553108,0.2541309620145771,0.012849503110601195,
lo_132,long_only,mom_126d,0.15,5,1.0007988090633997,0.9273234910232503,-0.35666862823658896,0.5461623893975367,0.19479899022083713,0.06628670072075094,
